"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","5/25","16/92",0.450221252695138,0.994722215760945,0.994722215760945,"23271/3192/4771/6597/10430",5
"HP_ABNORMAL_CEREBRAL_VENTRICLE_MORPHOLOGY","HP_ABNORMAL_CEREBRAL_VENTRICLE_MORPHOLOGY","HP_ABNORMAL_CEREBRAL_VENTRICLE_MORPHOLOGY","5/25","16/92",0.450221252695138,0.994722215760945,0.994722215760945,"3192/4001/4771/5921/6597",5
"GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION","6/25","20/92",0.475247320358755,0.994722215760945,0.994722215760945,"23271/3192/80856/23077/4771/5921",6
"HP_GAIT_DISTURBANCE","HP_GAIT_DISTURBANCE","HP_GAIT_DISTURBANCE","4/25","13/92",0.49336704866171,0.994722215760945,0.994722215760945,"4001/80856/4771/5903",4
"GOBP_PHOSPHORYLATION","GOBP_PHOSPHORYLATION","GOBP_PHOSPHORYLATION","5/25","17/92",0.516703768492686,0.994722215760945,0.994722215760945,"8841/3192/4771/5170/5903",5
"GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS","6/25","21/92",0.536368790554101,0.994722215760945,0.994722215760945,"5926/11319/8841/3192/4928/6597",6
"GOBP_BIOLOGICAL_ADHESION","GOBP_BIOLOGICAL_ADHESION","GOBP_BIOLOGICAL_ADHESION","3/25","10/92",0.545999535946266,0.994722215760945,0.994722215760945,"4771/5921/55423",3
"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE","3/25","10/92",0.545999535946266,0.994722215760945,0.994722215760945,"8841/4928/5903",3
"GOBP_MACROMOLECULE_CATABOLIC_PROCESS","GOBP_MACROMOLECULE_CATABOLIC_PROCESS","GOBP_MACROMOLECULE_CATABOLIC_PROCESS","3/25","10/92",0.545999535946266,0.994722215760945,0.994722215760945,"3192/23077/5700",3
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","3/25","10/92",0.545999535946266,0.994722215760945,0.994722215760945,"23271/22900/3192",3
